0.00   	41.94  	25.50  	27.06  	14.85  	111.37 	61.70  	56.80  	13.09  
0.01   	41.85  	25.50  	27.06  	14.85  	111.37 	61.70  	56.80  	13.09  
0.03   	41.94  	25.50  	27.06  	14.85  	111.37 	61.70  	56.80  	13.07  
0.04   	41.85  	25.50  	27.06  	14.85  	111.37 	61.70  	56.80  	13.07  
0.05   	41.94  	25.50  	27.06  	14.87  	111.37 	61.70  	56.80  	13.09  
0.06   	41.85  	25.50  	27.06  	14.87  	111.37 	61.54  	56.80  	13.09  
0.07   	41.94  	25.50  	27.11  	14.87  	111.37 	61.70  	56.80  	13.07  
0.08   	41.85  	25.50  	27.11  	14.85  	111.37 	61.70  	56.80  	13.09  
0.09   	41.85  	25.50  	27.11  	14.87  	111.37 	61.70  	56.66  	13.07  
0.10   	41.94  	25.50  	27.06  	14.85  	111.37 	61.70  	56.80  	13.07  
0.11   	41.85  	25.50  	27.06  	14.85  	111.37 	61.70  	56.80  	13.09  
0.12   	41.85  	25.46  	27.06  	14.87  	110.89 	61.70  	56.80  	13.09  
0.13   	41.85  	25.50  	27.11  	14.87  	111.84 	61.70  	56.80  	13.09  
0.14   	41.85  	25.50  	27.06  	14.87  	110.89 	61.70  	56.80  	13.09  
0.15   	41.85  	25.50  	27.06  	14.85  	110.89 	61.70  	56.80  	13.09  
0.16   	41.85  	25.50  	27.06  	14.85  	110.89 	61.70  	56.80  	13.09  
0.17   	41.94  	25.50  	27.06  	14.85  	110.89 	61.70  	56.80  	13.09  
0.18   	41.85  	25.50  	27.06  	14.85  	111.37 	61.70  	56.80  	13.09  
0.19   	41.85  	25.50  	27.11  	14.87  	111.37 	61.70  	56.80  	13.09  
0.20   	41.85  	25.54  	27.06  	14.87  	111.37 	61.70  	56.80  	13.09  
0.21   	41.85  	25.50  	27.06  	14.85  	111.37 	61.70  	56.80  	13.07  
0.22   	41.85  	25.50  	27.11  	14.87  	111.37 	61.70  	56.80  	13.07  
0.23   	41.94  	25.46  	27.06  	14.85  	110.89 	61.70  	56.66  	13.09  
0.24   	41.85  	25.50  	27.11  	14.85  	111.37 	61.70  	56.80  	13.09  
0.25   	41.85  	25.50  	27.11  	14.87  	110.89 	61.70  	56.80  	13.07  
