MI_dir_L5_weight,MI_dir_L5_mean,MI_dir_L5_variance,MI_dir_L3_weight,MI_dir_L3_mean,MI_dir_L3_variance,MI_dir_L1_weight,MI_dir_L1_mean,MI_dir_L1_variance,MI_dir_L0.1_weight,MI_dir_L0.1_mean,MI_dir_L0.1_variance,MI_dir_L0.01_weight,MI_dir_L0.01_mean,MI_dir_L0.01_variance,H_L5_weight,H_L5_mean,H_L5_variance,H_L3_weight,H_L3_mean,H_L3_variance,H_L1_weight,H_L1_mean,H_L1_variance,H_L0.1_weight,H_L0.1_mean,H_L0.1_variance,H_L0.01_weight,H_L0.01_mean,H_L0.01_variance,HH_L5_weight,HH_L5_mean,HH_L5_std,HH_L5_magnitude,HH_L5_radius,HH_L5_covariance,HH_L5_pcc,HH_L3_weight,HH_L3_mean,HH_L3_std,HH_L3_magnitude,HH_L3_radius,HH_L3_covariance,HH_L3_pcc,HH_L1_weight,HH_L1_mean,HH_L1_std,HH_L1_magnitude,HH_L1_radius,HH_L1_covariance,HH_L1_pcc,HH_L0.1_weight,HH_L0.1_mean,HH_L0.1_std,HH_L0.1_magnitude,HH_L0.1_radius,HH_L0.1_covariance,HH_L0.1_pcc,HH_L0.01_weight,HH_L0.01_mean,HH_L0.01_std,HH_L0.01_magnitude,HH_L0.01_radius,HH_L0.01_covariance,HH_L0.01_pcc,HH_jit_L5_weight,HH_jit_L5_mean,HH_jit_L5_variance,HH_jit_L3_weight,HH_jit_L3_mean,HH_jit_L3_variance,HH_jit_L1_weight,HH_jit_L1_mean,HH_jit_L1_variance,HH_jit_L0.1_weight,HH_jit_L0.1_mean,HH_jit_L0.1_variance,HH_jit_L0.01_weight,HH_jit_L0.01_mean,HH_jit_L0.01_variance,HpHp_L5_weight,HpHp_L5_mean,HpHp_L5_std,HpHp_L5_magnitude,HpHp_L5_radius,HpHp_L5_covariance,HpHp_L5_pcc,HpHp_L3_weight,HpHp_L3_mean,HpHp_L3_std,HpHp_L3_magnitude,HpHp_L3_radius,HpHp_L3_covariance,HpHp_L3_pcc,HpHp_L1_weight,HpHp_L1_mean,HpHp_L1_std,HpHp_L1_magnitude,HpHp_L1_radius,HpHp_L1_covariance,HpHp_L1_pcc,HpHp_L0.1_weight,HpHp_L0.1_mean,HpHp_L0.1_std,HpHp_L0.1_magnitude,HpHp_L0.1_radius,HpHp_L0.1_covariance,HpHp_L0.1_pcc,HpHp_L0.01_weight,HpHp_L0.01_mean,HpHp_L0.01_std,HpHp_L0.01_magnitude,HpHp_L0.01_radius,HpHp_L0.01_covariance,HpHp_L0.01_pcc
1,60,0,1,60,0,1,60,0,1,60,0,1,60,0,1,60,0,1,60,0,1,60,0,1,60,0,1,60,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,1505662853,0,1,1505662853,0,1,1505662853,0,1,1505662853,0,1,1505662853,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0
1.537095381,158.5370845,18077.90081,2.23205439,215.6589927,19666.11393,4.071977712,272.7461828,14733.48525,5.758190123,293.0262784,11412.16408,5.975234452,294.8051992,11081.58461,1.537095381,158.5370845,18077.90081,2.23205439,215.6589927,19666.11393,4.071977712,272.7461828,14733.48525,5.758190151,293.0262786,11412.16404,7.453124462,304.1499864,9255.168241,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,1505662853,0,1,1505662853,0,1,1505662853,0,1,1505662853,0,1,1505662853,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0,1,60,0,60,0,0,0
1,70,0,1,70,0,1,70,0,1,70,0,1,70,0,1,70,0,1,70,0,1,70,0,1,70,0,1,70,0,1,70,0,70,0,0,0,1,70,0,70,0,0,0,1,70,0,70,0,0,0,1,70,0,70,0,0,0,1,70,0,70,0,0,0,1,1505662853,0,1,1505662853,0,1,1505662853,0,1,1505662853,0,1,1505662853,0,1,70,0,70,0,0,0,1,70,0,70,0,0,0,1,70,0,70,0,0,0,1,70,0,70,0,0,0,1,70,0,70,0,0,0
1.309417147,60,0,1.494682591,60,9.09E-13,1.790876872,60,4.55E-13,1.976811778,60,4.55E-13,1.99765662,60,9.09E-13,1.309417147,60,0,1.494682591,60,9.09E-13,1.790876872,60,4.55E-13,1.976811778,60,4.55E-13,1.99765662,60,9.09E-13,1,60,0,329.3427999,70223.63403,0,0,1,60,0,328.283792,70219.9562,0,0,1,60,0,328.4007649,70220.47645,0,0,1,60,0,330.1868983,70224.9037,0,0,1,60,0,330.4604877,70224.99897,0,0,1,1505662854,0,1,1505662854,0,1,1505662854,0,1,1505662854,0,1,1505662854,0,1.499662489,60,9.54E-07,60,9.09E-13,0,0,1.659486711,60,0,60,0,0,0,1.870433004,60,0,60,0,0,0,1.986219386,60,6.74E-07,60,4.55E-13,0,0,1.998613317,60,6.74E-07,60,4.55E-13,0,0
2.296654131,290.7704903,69053.34067,2.485924183,273.2003879,67541.80018,2.78737201,250.1432597,64621.46843,2.976424562,238.0659946,62667.4787,2.997617487,236.8070817,62447.00917,2.296654131,290.7704903,69053.34067,2.485924183,273.2003879,67541.80018,2.78737201,250.1432597,64621.46843,2.976424562,238.0659946,62667.4787,2.997617487,236.8070817,62447.00917,1.990252903,326.2978153,264.996822,407.38416,94776.26602,-18284.70763,-0.273495839,1.994140289,325.7786932,264.9988559,413.3544363,95855.08127,-17570.45363,-0.259579218,1.998042935,325.2595651,264.9998729,424.9785527,97457.12312,-15429.76842,-0.223986297,1.999804121,325.0259565,264.9999987,432.7229599,98225.4438,-13615.61171,-0.196056848,1.99998041,325.0025957,265,433.5811116,98297.10063,-13400.4607,-0.192815042,1.990252903,749144497.9,5.67E+17,1.994140289,750619258.2,5.67E+17,1.998042935,752094035.4,5.67E+17,1.999804121,752757687.6,5.67E+17,1.99998041,752824052.9,5.67E+17,1,590,0,590,0,0,0,1,590,0,590,0,0,0,1,590,0,590,0,0,0,1,590,0,590,0,0,0,1,590,0,590,0,0,0
2.982386891,213.3927058,57768.81187,3.275849669,208.1179179,56563.57887,3.706534073,198.8437826,54309.60881,3.96767772,193.1868469,52850.29266,3.996735407,192.5692066,52687.08497,2.982386891,213.3927058,57768.81187,3.275849669,208.1179179,56563.57887,3.706534073,198.8437826,54309.60881,3.96767772,193.1868469,52850.29266,3.996735407,192.5692066,52687.08497,2.717912685,228.3190183,246.7342452,334.0975362,88075.71504,-5322.039833,-0.085497233,2.825624268,231.7185252,248.0394454,344.1273137,89676.5319,-5120.739693,-0.080824475,2.940096716,235.0381912,249.2626586,360.6326898,91797.16401,-4565.007405,-0.07045178,2.993927281,236.5047829,249.7871025,370.8662831,92788.18982,-4078.396683,-0.062303176,2.999391896,236.650488,249.8386754,371.9803041,92881.35624,-4019.514575,-0.061345258,2.717912685,473512207.7,4.89E+17,2.825624268,484972028.8,4.95E+17,2.940096716,496288152.8,5.01E+17,2.993927281,501329507.5,5.04E+17,2.999391896,501831825.5,5.04E+17,1,60,0,84.85281374,0,0,0,1,60,0,84.85281374,0,0,0,1,60,0,84.85281374,0,0,0,1,60,0,84.85281374,0,0,0,1,60,0,84.85281374,0,0,0
3.302989843,166.9521434,45245.87503,3.805180349,169.1925834,45949.04892,4.519764486,168.124531,45615.08721,4.947216518,166.2652746,45028.28696,4.994669504,166.0270688,44952.60713,3.302989843,166.9521434,45245.87503,3.805180349,169.1925834,45949.04892,4.519764486,168.124531,45615.08721,4.947216518,166.2652746,45028.28696,4.994669504,166.0270688,44952.60713,1.204226156,60,6.74E-07,60,4.55E-13,0,0,1.38553767,60,9.54E-07,60,9.09E-13,0,0,1.727817129,60,6.74E-07,60,4.55E-13,0,0,1.968728835,60,6.74E-07,60,4.55E-13,0,0,1.996827987,60,0,60,0,0,0,1.204226156,255347167,3.19E+17,1.38553767,418963526.5,4.55E+17,1.727817129,634237962.8,5.53E+17,1.968728835,740873500,5.67E+17,1.996827987,751635534.6,5.67E+17,1.204226156,60,6.74E-07,60,4.55E-13,0,0,1.38553767,60,9.54E-07,60,9.09E-13,0,0,1.727817129,60,6.74E-07,60,4.55E-13,0,0,1.968728835,60,6.74E-07,60,4.55E-13,0,0,1.996827987,60,0,60,0,0,0
3.952020491,165.4460421,33803.77556,4.557152817,167.3948417,35877.70383,5.419348305,166.8098838,37205.64535,5.936113765,165.3782844,37446.68797,5.993547445,165.188322,37455.95301,3.952020491,165.4460421,33803.77556,4.557152817,167.3948417,35877.70383,5.419348305,166.8098838,37205.64535,5.936113765,165.3782844,37446.68797,5.993547445,165.188322,37455.95301,1,161,0,161,0,0,0,1,161,0,161,0,0,0,1,161,0,161,0,0,0,1,161,0,161,0,0,0,1,161,0,161,0,0,0,1,1505662854,0,1,1505662854,0,1,1505662854,0,1,1505662854,0,1,1505662854,0,1,161,0,161,0,0,0,1,161,0,161,0,0,0,1,161,0,161,0,0,0,1,161,0,161,0,0,0,1,161,0,161,0,0,0
1.362638661,151.4595998,2406.349177,1.544107185,141.8862013,2811.742406,1.816384631,131.1104047,3048.773359,1.979917429,126.062944,3079.933094,1.99797336,125.5562963,3080.246831,1.362638661,151.4595998,2406.349177,1.544107185,141.8862013,2811.742406,1.816384631,131.1104047,3048.773359,1.979917429,126.062944,3079.933094,1.99797336,125.5562963,3080.246831,1,181,0,181,0,0,0,1,181,0,181,0,0,0,1,181,0,181,0,0,0,1,181,0,181,0,0,0,1,181,0,181,0,0,0,1,1505662854,0,1,1505662854,0,1,1505662854,0,1,1505662854,0,1,1505662854,0,1,181,0,181,0,0,0,1,181,0,181,0,0,0,1,181,0,181,0,0,0,1,181,0,181,0,0,0,1,181,0,181,0,0,0
1.526960968,170.8054775,1027.663705,1.873204749,162.7668865,1691.429169,2.502060298,151.0498104,2427.457188,2.942652107,144.7321764,2710.373391,2.994180608,144.0734504,2735.27694,1.526960968,170.8054775,1027.663705,1.873204749,162.7668865,1691.429169,2.502060298,151.0498104,2427.457188,2.942652107,144.7321764,2710.373391,2.994180608,144.0734504,2735.27694,1.386720988,181,2.70E-06,181,7.28E-12,0,0,1.56550786,181,1.91E-06,181,3.64E-12,0,0,1.826950565,181,1.91E-06,181,3.64E-12,0,0,1.981178346,181,1.91E-06,181,3.64E-12,0,0,1.9981017,181,2.70E-06,181,7.28E-12,0,0,1.386720988,419890829.6,4.56E+17,1.56550786,543890069.1,5.23E+17,1.826950565,681522955.2,5.62E+17,1.981178346,745679353.6,5.67E+17,1.9981017,752116198.4,5.67E+17,1.386720988,181,2.70E-06,181,7.28E-12,0,0,1.56550786,181,1.91E-06,181,3.64E-12,0,0,1.826950565,181,1.91E-06,181,3.64E-12,0,0,1.981178346,181,1.91E-06,181,3.64E-12,0,0,1.9981017,181,2.70E-06,181,7.28E-12,0,0
2.527878495,163.6872384,20436.1125,3.576649647,165.6068998,25854.84809,5.481268753,165.7499314,30422.90024,6.824351921,164.7367166,31961.87007,6.982166367,164.588462,32093.58818,2.527878495,163.6872384,20436.1125,3.576649647,165.6068998,25854.84809,5.481268753,165.7499314,30422.90024,6.824351921,164.7367166,31961.87007,6.982166367,164.588462,32093.58818,1.386606926,161,0,161,0,0,0,1.565407778,161,2.70E-06,161,7.28E-12,0,0,1.826901779,161,1.91E-06,161,3.64E-12,0,0,1.981172557,161,0,161,0,0,0,1.998101112,161,0,161,0,0,0,1.386606926,419801515,4.56E+17,1.565407778,543828579.7,5.23E+17,1.826901779,681500946.9,5.62E+17,1.981172557,745677133,5.67E+17,1.998101112,752115976.3,5.67E+17,1.386606926,161,0,161,0,0,0,1.565407778,161,2.70E-06,161,7.28E-12,0,0,1.826901779,161,1.91E-06,161,3.64E-12,0,0,1.981172557,161,0,161,0,0,0,1.998101112,161,0,161,0,0,0
2.959468121,307.7377043,54190.79484,4.069768354,269.8863239,52883.21377,6.209037667,234.0777612,49842.51733,7.789676067,219.3299089,48094.82719,7.978610455,217.9074629,47910.73717,2.959468121,307.7377043,54190.79484,4.069768354,269.8863239,52883.21377,6.209037667,234.0777612,49842.51733,7.789676067,219.3299089,48094.82719,7.978610455,217.9074629,47910.73717,1.562117762,459.8514869,228.1229416,552.5679194,87127.14305,-11796.10092,-0.19561336,2.097664191,402.5187307,253.4084576,499.7883318,94550.82373,-12619.39438,-0.189034753,3.145260215,347.8942936,264.009188,453.76952,98142.09755,-12781.64912,-0.18418528,3.90103577,327.1205163,264.9915157,440.4010728,98669.89331,-13399.03476,-0.192053429,3.989953246,325.2103007,264.9999166,439.4000418,98699.00143,-13481.21402,-0.193173772,1.562117762,170390241.6,2.28E+17,2.097664191,253775810.4,3.18E+17,3.145260215,338498933.9,3.95E+17,3.90103577,372817610.5,4.22E+17,3.989953246,376057964.4,4.25E+17,1.178519075,590,1.08E-05,590,1.16E-10,0,0,1.355640144,590,0,590,0,0,0,1.708495222,590,0,590,0,0,0,1.966125828,590,0,590,0,0,0,1.996559811,590,0,590,0,0,0
2.632523489,251.9973833,38677.90468,3.848112592,241.5902901,41420.96253,6.512561517,222.8567138,42883.32515,8.697546363,212.6234303,42911.33804,8.969123427,211.5626441,42889.80667,2.632523489,251.9973833,38677.90468,3.848112592,241.5902901,41420.96253,6.512561517,222.8567138,42883.32515,8.697546363,212.6234303,42911.33804,8.969123427,211.5626441,42889.80667,1.592899583,161,3.30E-06,161,1.09E-11,0,0,1.94025176,161,0,161,0,0,0,2.541419165,161,2.70E-06,161,7.28E-12,0,0,2.947793262,161,2.70E-06,161,7.28E-12,0,0,2.994708861,161,3.30E-06,161,1.09E-11,0,0,1.592899583,156256016.4,2.11E+17,1.94025176,263540943.4,3.27E+17,2.541419165,413343314.4,4.52E+17,2.947793262,492715996.8,4.99E+17,2.994708861,500967697.5,5.03E+17,1.592899583,161,3.30E-06,161,1.09E-11,0,0,1.94025176,161,0,161,0,0,0,2.541419165,161,2.70E-06,161,7.28E-12,0,0,2.947793262,161,2.70E-06,161,7.28E-12,0,0,2.994708861,161,3.30E-06,161,1.09E-11,0,0
1.652723185,176.9737957,430.6983545,2.124931071,171.3474535,978.2610033,3.110950221,160.6771549,1842.817771,3.893056685,154.048204,2265.250047,3.989095533,153.3303231,2305.723115,1.652723185,176.9737957,430.6983545,2.124931071,171.3474535,978.2610033,3.110950221,160.6771549,1842.817771,3.893056685,154.048204,2265.250047,3.989095533,153.3303231,2305.723115,1.592775427,181,0,181,0,0,0,1.940147324,181,0,181,0,0,0,2.541370407,181,1.91E-06,181,3.64E-12,0,0,2.94778759,181,3.30E-06,181,1.09E-11,0,0,2.994708285,181,4.26E-06,181,1.82E-11,0,0,1.592775427,156268712.9,2.11E+17,1.940147324,263555652.2,3.27E+17,2.541370407,413351517.9,4.52E+17,2.94778759,492716977.4,4.99E+17,2.994708285,500967797.1,5.03E+17,1.592775427,181,0,181,0,0,0,1.940147324,181,0,181,0,0,0,2.541370407,181,1.91E-06,181,3.64E-12,0,0,2.94778759,181,3.30E-06,181,1.09E-11,0,0,2.994708285,181,4.26E-06,181,1.82E-11,0,0
